run_name,model_name,benchmark_name,benchmark_name_original,base_name,architecture,optimization,dataset_size,accuracy,runtime,experiment_type
idaOnDragonOriginalDatasets,ida_tydamin_ep35,coreutils_x64_O0_5hops,coreutils_x64_O0_5hops,coreutils,x64,O0,55613.0,48.48,268,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,264,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,coreutils_x86_O1_5hops,coreutils_x86_O1_5hops,coreutils,x86,O1,46966.0,23.61,267,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,352,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,coreutils_x64_O3_5hops,coreutils_x64_O3_5hops,coreutils,x64,O3,62000.0,37.38,356,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,797,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,coreutils_arm64_O3_5hops,coreutils_arm64_O3_5hops,coreutils,arm64,O3,118272.0,39.4,805,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,275,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,coreutils_x86_O0_5hops,coreutils_x86_O0_5hops,coreutils,x86,O0,58662.0,28.41,281,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,1025,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,coreutils_armhf_O3_5hops,coreutils_armhf_O3_5hops,coreutils,armhf,O3,119105.0,37.91,1034,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,311,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,coreutils_x64_O2_5hops,coreutils_x64_O2_5hops,coreutils,x64,O2,45954.0,41.4,316,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,421,IDA Pro on Ghidra
